Data,Comércio - farmácias e perfumarias - faturamento - índice (média 1998 = 100) - RMSP - INATIVA - - - Federação do Comércio do Estado de São Paulo- Pesquisa Conjuntural do Comércio Varejista  da Região Metropolitana de São Paulo (Fecomercio SP) - FCESP12_FARM12,Comércio - farmácias e perfumarias - faturamento real - índice (média 1998 = 100) - RMSP - INATIVA - - - Federação do Comércio do Estado de São Paulo- Pesquisa Conjuntural do Comércio Varejista  da Região Metropolitana de São Paulo (Fecomercio SP) - FCESP12_FARMR12,
1997.05,92.1961744887822,95.2416050764268,
1997.06,92.5372439683989,95.0805060546372,
1997.07,92.2465343141112,94.5737443975798,
1997.08,94.0114253407212,96.4024408609022,
1997.09,91.7795164376578,94.0573328743801,
1997.10,92.8662098515613,94.9526052369828,
1997.11,87.8930939427013,89.7152440114037,
1997.12,95.7330998861351,97.2993971301313,
1998.01,81.3804821567437,82.128840257342,
1998.02,82.6407823335576,83.0188432154113,
1998.03,95.2739810426235,95.3855248600718,
1998.04,92.7583547164635,92.6446062617255,
1998.05,98.3238497381716,97.7147028694801,
1998.06,105.935370142129,105.258015931004,
1998.07,106.35117504425,105.79811990691,
1998.08,108.553742347831,108.542801547242,
1998.09,104.579636951077,104.799655931499,
1998.10,109.094061004595,109.301717274241,
1998.11,103.033803100189,103.353948644794,
1998.12,112.074761422369,112.053223300278,
1999.01,99.9025948627344,99.1890724365107,
1999.02,97.4967456066873,95.794563277172,
1999.03,110.923262988149,107.800859476174,
1999.04,101.608734975238,98.1986159273333,
1999.05,113.418959690497,109.284620540692,
1999.06,110.489573925218,106.260122286503,
1999.07,112.155696130236,106.699442753359,
1999.08,117.613556085914,111.268679119052,
1999.09,113.940537756304,107.460680327467,
1999.10,114.988968707379,107.17411450443,
1999.11,115.204102437025,106.364167770531,
1999.12,128.914969351502,118.313082822791,
2000.01,109.154939296176,99.5608281578514,
2000.02,114.895723916673,104.660970526418,
2000.03,121.659297446637,110.578780891486,
2000.04,120.529937982169,109.094086353986,
2000.05,129.892929789159,117.556964045964,
2000.06,123.377208511794,111.403813762263,
2000.07,120.735157878581,107.29078472824,
2000.08,125.08493800019,109.718880998593,
2000.09,119.601842483824,104.668618431797,
2000.10,123.939429895709,108.312986000977,
2000.11,119.452213179796,104.120809278033,
2000.12,131.520116164225,113.967418208405,
2001.01,120.177712823271,103.548547303026,
2001.02,113.677651153046,97.4994113605568,
2001.03,129.63577755662,110.765519272207,
2001.04,128.701369995694,109.332996118555,
2001.05,128.565766760882,108.771835399733,
2001.06,126.729313500017,106.663471657671,
2001.07,132.571236305385,110.115865414892,
2001.08,132.536953985741,109.32213500713,
2001.09,124.056963381737,102.041759987282,
2001.10,137.186355648623,111.912332159352,
2001.11,131.214897457039,106.286370367565,
2001.12,141.595586257387,113.954208171753,
2002.01,132.28501396766,105.910451471182,
2002.02,128.254428686967,102.315136884676,
2002.03,141.689327875718,112.358692985274,
2002.04,143.661921124655,113.018795921696,
2002.05,151.294337350273,118.773790817262,
2002.06,145.886881862487,114.049653221262,
2002.07,148.596267932846,114.801624428143,
2002.08,152.308170781505,116.909433027788,
2002.09,145.321478169839,110.749160196776,
2002.10,154.131119225288,115.944099433226,
2002.11,151.552142926093,110.662086808589,
2002.12,168.080510411934,120.206621235546,
2003.01,151.118893999828,105.697929901954,
2003.02,147.078644253907,101.281909534554,
2003.03,144.078664132758,98.0105212973602,
2003.04,140.502596510212,94.6596773577841,
2003.05,146.278599432687,97.9535802262195,
2003.06,140.933405000117,94.5160136342635,
2003.07,142.019868,95.054533,
2003.08,167.221511893284,111.542860823403,
2003.09,162.312994395133,107.430740457213,
2003.10,169.401103027244,111.79796072992,
2003.11,162.843049683167,107.105747962143,
2003.12,186.237490706272,121.859160762286,
2004.01,167.708769428607,108.907724689351,
